Description,Acronym,Length,ID,die
"NM_014729.3 Homo sapiens thymocyte selection associated high mobility group box (TOX), mRNA",TOX,4076,NM_014729.3,no
"NM_005686.3 Homo sapiens SRY-box transcription factor 13 (SOX13), mRNA",SOX13,4076,NM_005686.3,no
"NM_001102657.3 Homo sapiens zinc finger protein 836 (ZNF836), mRNA",ZNF836,4076,NM_001102657.3,no
"NR_138257.1 Homo sapiens long intergenic non-protein coding RNA 2210 (LINC02210), transcript variant 3, long non-coding RNA",LINC02210,4075,NR_138257.1,no
"NM_007358.4 Homo sapiens metal response element binding transcription factor 2 (MTF2), transcript variant 1, mRNA",MTF2,4075,NM_007358.4,no
"NM_006387.6 Homo sapiens calcium homeostasis endoplasmic reticulum protein (CHERP), mRNA",CHERP,4075,NM_006387.6,no
"NM_001354103.2 Homo sapiens proteasome activator subunit 3 interacting protein 1 (PSME3IP1), transcript variant 27, mRNA",PSME3IP1,4074,NM_001354103.2,no
"NM_001269041.1 Homo sapiens CCCTC-binding factor like (CTCFL), transcript variant 3, mRNA",CTCFL,4073,NM_001269041.1,no
"NM_001105540.2 Homo sapiens diacylglycerol kinase zeta (DGKZ), transcript variant 4, mRNA",DGKZ,4072,NM_001105540.2,no
"NR_120398.1 Homo sapiens uncharacterized LOC101060553 (LOC101060553), long non-coding RNA",LOC101060553,4071,NR_120398.1,no
"NM_001374308.2 Homo sapiens syntaxin binding protein 1 (STXBP1), transcript variant 5, mRNA",STXBP1,4070,NM_001374308.2,no
"NM_015404.4 Homo sapiens whirlin (WHRN), transcript variant 1, mRNA",WHRN,4070,NM_015404.4,no
"NM_001323981.1 Homo sapiens solute carrier family 16 member 9 (SLC16A9), transcript variant 2, mRNA",SLC16A9,4070,NM_001323981.1,no
"NM_003363.4 Homo sapiens ubiquitin specific peptidase 4 (USP4), transcript variant 1, mRNA",USP4,4070,NM_003363.4,no
"NM_182526.2 Homo sapiens transmembrane protein 229B (TMEM229B), transcript variant 4, mRNA",TMEM229B,4068,NM_182526.2,no
"NM_001145320.2 Homo sapiens ADAMTS like 2 (ADAMTSL2), transcript variant 2, mRNA",ADAMTSL2,4068,NM_001145320.2,no
"NR_132350.1 Homo sapiens biogenesis of lysosomal organelles complex 1 subunit 6 (BLOC1S6), transcript variant 3, non-coding RNA",BLOC1S6,4068,NR_132350.1,no
"NM_175872.5 Homo sapiens zinc finger protein 792 (ZNF792), mRNA",ZNF792,4068,NM_175872.5,no
"NM_001197247.3 Homo sapiens butyrophilin subfamily 3 member A2 (BTN3A2), transcript variant 3, mRNA",BTN3A2,4068,NM_001197247.3,no
"NM_172311.3 Homo sapiens STON1-GTF2A1L readthrough (STON1-GTF2A1L), transcript variant 1, mRNA",STON1-GTF2A1L,4067,NM_172311.3,no
"NM_005630.3 Homo sapiens solute carrier organic anion transporter family member 2A1 (SLCO2A1), mRNA",SLCO2A1,4067,NM_005630.3,no
"NM_053279.3 Homo sapiens family with sequence similarity 167 member A (FAM167A), mRNA",FAM167A,4067,NM_053279.3,no
"NM_138775.3 Homo sapiens alkB homolog 8, tRNA methyltransferase (ALKBH8), transcript variant 2, mRNA",ALKBH8,4067,NM_138775.3,no
"NR_135242.1 Homo sapiens PKP4 antisense RNA 1 (PKP4-AS1), long non-coding RNA",PKP4-AS1,4067,NR_135242.1,no
"NM_020890.3 Homo sapiens cellular inhibitor of PP2A (CIP2A), mRNA",CIP2A,4066,NM_020890.3,no
"NR_024063.2 Homo sapiens zinc finger and SCAN domain containing 12 pseudogene 1 (ZSCAN12P1), non-coding RNA",ZSCAN12P1,4066,NR_024063.2,no
"NR_109900.1 Homo sapiens long intergenic non-protein coding RNA 2225 (LINC02225), long non-coding RNA",LINC02225,4065,NR_109900.1,no
"NM_001370167.1 Homo sapiens synaptotagmin like 4 (SYTL4), transcript variant 11, mRNA",SYTL4,4065,NM_001370167.1,no
"NM_001363878.1 Homo sapiens oxysterol binding protein like 2 (OSBPL2), transcript variant 4, mRNA",OSBPL2,4064,NM_001363878.1,no
"NM_007202.4 Homo sapiens A-kinase anchoring protein 10 (AKAP10), transcript variant 1, mRNA",AKAP10,4063,NM_007202.4,no
"NM_022336.4 Homo sapiens ectodysplasin A receptor (EDAR), mRNA",EDAR,4062,NM_022336.4,no
"NM_183376.3 Homo sapiens arrestin domain containing 4 (ARRDC4), mRNA",ARRDC4,4062,NM_183376.3,no
"NM_001168465.2 Homo sapiens MAP7 domain containing 2 (MAP7D2), transcript variant 1, mRNA",MAP7D2,4062,NM_001168465.2,no
"NM_002428.4 Homo sapiens matrix metallopeptidase 15 (MMP15), mRNA",MMP15,4062,NM_002428.4,no
"NM_001037144.7 Homo sapiens centrobin, centriole duplication and spindle assembly protein (CNTROB), transcript variant 2, mRNA",CNTROB,4062,NM_001037144.7,no
"NM_024592.5 Homo sapiens steroid 5 alpha-reductase 3 (SRD5A3), mRNA",SRD5A3,4061,NM_024592.5,no
"NM_138389.4 Homo sapiens family with sequence similarity 114 member A1 (FAM114A1), transcript variant 1, mRNA",FAM114A1,4060,NM_138389.4,no
"NM_001256295.2 Homo sapiens ETS proto-oncogene 2, transcription factor (ETS2), transcript variant 2, mRNA",ETS2,4060,NM_001256295.2,no
"NM_145007.3 Homo sapiens NLR family pyrin domain containing 11 (NLRP11), transcript variant 1, mRNA",NLRP11,4059,NM_145007.3,no
"NR_027428.1 Homo sapiens TMEM254 antisense RNA 1 (TMEM254-AS1), transcript variant 1, long non-coding RNA",TMEM254-AS1,4059,NR_027428.1,no
"NM_001135050.2 Homo sapiens immunoglobulin superfamily member 9 (IGSF9), transcript variant 1, mRNA",IGSF9,4059,NM_001135050.2,no
"NM_017636.4 Homo sapiens transient receptor potential cation channel subfamily M member 4 (TRPM4), transcript variant 1, mRNA",TRPM4,4058,NM_017636.4,no
"NM_001290075.1 Homo sapiens upregulator of cell proliferation (URGCP), transcript variant 5, mRNA",URGCP,4058,NM_001290075.1,no
"NM_001304787.2 Homo sapiens APC down-regulated 1 like (APCDD1L), transcript variant 2, mRNA",APCDD1L,4058,NM_001304787.2,no
"NM_002333.4 Homo sapiens LDL receptor related protein 3 (LRP3), mRNA",LRP3,4058,NM_002333.4,no
"NM_181644.5 Homo sapiens major facilitator superfamily domain containing 4A (MFSD4A), mRNA",MFSD4A,4058,NM_181644.5,no
"NM_003297.4 Homo sapiens nuclear receptor subfamily 2 group C member 1 (NR2C1), transcript variant 1, mRNA",NR2C1,4058,NM_003297.4,no
"NM_001795.5 Homo sapiens cadherin 5 (CDH5), mRNA",CDH5,4057,NM_001795.5,no
"NM_001670.3 Homo sapiens ARVCF delta catenin family member (ARVCF), mRNA",ARVCF,4056,NM_001670.3,no
"NM_018843.4 Homo sapiens solute carrier family 25 member 40 (SLC25A40), mRNA",SLC25A40,4056,NM_018843.4,no
"NM_001103170.3 Homo sapiens arylacetamide deacetylase like 3 (AADACL3), transcript variant 1, mRNA",AADACL3,4055,NM_001103170.3,no
"NM_001039891.3 Homo sapiens zinc finger protein 674 (ZNF674), transcript variant 1, mRNA",ZNF674,4055,NM_001039891.3,no
"NM_003466.4 Homo sapiens paired box 8 (PAX8), transcript variant PAX8A, mRNA",PAX8,4055,NM_003466.4,no
"NR_104167.2 Homo sapiens interleukin 1 receptor like 1 (IL1RL1), transcript variant 4, non-coding RNA",IL1RL1,4055,NR_104167.2,no
"NM_003998.4 Homo sapiens nuclear factor kappa B subunit 1 (NFKB1), transcript variant 1, mRNA",NFKB1,4055,NM_003998.4,no
"NM_001177718.1 Homo sapiens Kruppel like factor 11 (KLF11), transcript variant 3, mRNA",KLF11,4054,NM_001177718.1,no
"NM_032321.3 Homo sapiens chromosome 2 open reading frame 88 (C2orf88), transcript variant 4, mRNA",C2orf88,4054,NM_032321.3,no
"NM_001267578.1 Homo sapiens torsin 1A interacting protein 1 (TOR1AIP1), transcript variant 1, mRNA",TOR1AIP1,4054,NM_001267578.1,no
"NR_015352.2 Homo sapiens cat eye syndrome chromosome region, candidate 7 (CECR7), transcript variant 1, long non-coding RNA",CECR7,4053,NR_015352.2,no
"NM_001321645.2 Homo sapiens zinc finger protein 224 (ZNF224), mRNA",ZNF224,4053,NM_001321645.2,no
"NM_003325.4 Homo sapiens histone cell cycle regulator (HIRA), mRNA",HIRA,4053,NM_003325.4,no
"NM_001128616.2 Homo sapiens Rho guanine nucleotide exchange factor 3 (ARHGEF3), transcript variant 2, mRNA",ARHGEF3,4053,NM_001128616.2,no
"NM_001324212.2 Homo sapiens ELAV like RNA binding protein 4 (ELAVL4), transcript variant 13, mRNA",ELAVL4,4052,NM_001324212.2,no
"NM_021145.3 Homo sapiens cyclin D binding myb like transcription factor 1 (DMTF1), transcript variant 1, mRNA",DMTF1,4052,NM_021145.3,no
"NR_158219.1 Homo sapiens uncharacterized LOC112268068 (LOC112268068), long non-coding RNA",LOC112268068,4052,NR_158219.1,no
"NM_017707.4 Homo sapiens ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 (ASAP3), transcript variant 1, mRNA",ASAP3,4051,NM_017707.4,no
"NM_052942.4 Homo sapiens guanylate binding protein 5 (GBP5), transcript variant 1, mRNA",GBP5,4051,NM_052942.4,no
"NM_001289939.1 Homo sapiens solute carrier family 1 member 3 (SLC1A3), transcript variant GLAST1a, mRNA",SLC1A3,4050,NM_001289939.1,no
"NM_001330266.1 Homo sapiens grancalcin (GCA), transcript variant 2, mRNA",GCA,4050,NM_001330266.1,no
"NM_016422.4 Homo sapiens ring finger protein 141 (RNF141), mRNA",RNF141,4049,NM_016422.4,no
"NR_110157.1 Homo sapiens uncharacterized LOC101927914 (LOC101927914), long non-coding RNA",LOC101927914,4049,NR_110157.1,no
"NR_049752.3 Homo sapiens zinc finger protein 211 (ZNF211), transcript variant 7, non-coding RNA",ZNF211,4049,NR_049752.3,no
"NM_001310148.1 Homo sapiens nuclear pore complex interacting protein family member B4 (NPIPB4), mRNA",NPIPB4,4049,NM_001310148.1,no
"NM_001142443.3 Homo sapiens enhancer of mRNA decapping 3 (EDC3), transcript variant 1, mRNA",EDC3,4048,NM_001142443.3,no
"NM_153377.5 Homo sapiens leucine rich repeats and immunoglobulin like domains 3 (LRIG3), transcript variant 2, mRNA",LRIG3,4046,NM_153377.5,no
"NM_133640.5 Homo sapiens mediator complex subunit 22 (MED22), transcript variant b, mRNA",MED22,4044,NM_133640.5,no
"NM_152351.5 Homo sapiens solute carrier family 5 member 10 (SLC5A10), transcript variant 1, mRNA",SLC5A10,4044,NM_152351.5,no
"NM_052937.4 Homo sapiens protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 (PCMTD1), transcript variant 1, mRNA",D-aspartate,4044,NM_052937.4,no
"NM_024050.6 Homo sapiens DET1 and DDB1 associated 1 (DDA1), mRNA",DDA1,4043,NM_024050.6,no
"NM_000253.4 Homo sapiens microsomal triglyceride transfer protein (MTTP), transcript variant 1, mRNA",MTTP,4043,NM_000253.4,no
"NM_001301135.2 Homo sapiens mitochondrial transcription termination factor 1 (MTERF1), transcript variant 3, mRNA",MTERF1,4042,NM_001301135.2,no
"NM_001330677.2 Homo sapiens T-box transcription factor 15 (TBX15), transcript variant 1, mRNA",TBX15,4042,NM_001330677.2,no
"NM_133475.1 Homo sapiens ankyrin repeat domain 24 (ANKRD24), mRNA",ANKRD24,4041,NM_133475.1,no
"NM_001659.3 Homo sapiens ADP ribosylation factor 3 (ARF3), mRNA",ARF3,4041,NM_001659.3,no
"NM_025215.6 Homo sapiens pseudouridine synthase 1 (PUS1), transcript variant 1, mRNA",PUS1,4041,NM_025215.6,no
"NM_001318339.3 Homo sapiens formin binding protein 4 (FNBP4), transcript variant 1, mRNA",FNBP4,4041,NM_001318339.3,no
"NM_031891.4 Homo sapiens cadherin 20 (CDH20), mRNA",CDH20,4040,NM_031891.4,no
"NM_031442.4 Homo sapiens transmembrane protein 47 (TMEM47), mRNA",TMEM47,4040,NM_031442.4,no
"NM_001363731.1 Homo sapiens transmembrane 9 superfamily member 4 (TM9SF4), transcript variant 2, mRNA",TM9SF4,4040,NM_001363731.1,no
"NM_000361.3 Homo sapiens thrombomodulin (THBD), mRNA",THBD,4040,NM_000361.3,no
"NM_001291641.2 Homo sapiens golgi associated, gamma adaptin ear containing, ARF binding protein 3 (GGA3), transcript variant 3, mRNA",GGA3,4040,NM_001291641.2,no
"NM_002525.2 Homo sapiens nardilysin convertase (NRDC), transcript variant 1, mRNA",NRDC,4040,NM_002525.2,no
"NM_018715.4 Homo sapiens regulator of chromosome condensation 2 (RCC2), transcript variant 1, mRNA",RCC2,4040,NM_018715.4,no
"NM_001243253.2 Homo sapiens tigger transposable element derived 6 (TIGD6), transcript variant 2, mRNA",TIGD6,4039,NM_001243253.2,no
"NM_198253.3 Homo sapiens telomerase reverse transcriptase (TERT), transcript variant 1, mRNA",TERT,4039,NM_198253.3,no
"NM_032587.4 Homo sapiens caspase recruitment domain family member 6 (CARD6), mRNA",CARD6,4038,NM_032587.4,no
"NM_000742.4 Homo sapiens cholinergic receptor nicotinic alpha 2 subunit (CHRNA2), transcript variant 1, mRNA",CHRNA2,4037,NM_000742.4,no
"NR_110938.1 Homo sapiens uncharacterized LOC101928446 (LOC101928446), long non-coding RNA",LOC101928446,4037,NR_110938.1,no
"NM_002605.3 Homo sapiens phosphodiesterase 8A (PDE8A), transcript variant 1, mRNA",PDE8A,4036,NM_002605.3,no
"NR_149351.2 Homo sapiens ribosomal protein SA pseudogene 58 (RPSAP58), transcript variant 4, non-coding RNA",RPSAP58,4036,NR_149351.2,no
"NM_001039675.1 Homo sapiens unc-45 myosin chaperone A (UNC45A), transcript variant 3, mRNA",UNC45A,4035,NM_001039675.1,no
"NM_001038618.3 Homo sapiens nuclear prelamin A recognition factor (NARF), transcript variant 3, mRNA",NARF,4035,NM_001038618.3,no
"NM_152695.6 Homo sapiens zinc finger protein 449 (ZNF449), mRNA",ZNF449,4034,NM_152695.6,no
"NM_015050.3 Homo sapiens cap methyltransferase 1 (CMTR1), mRNA",CMTR1,4034,NM_015050.3,no
"NR_002807.4 Homo sapiens transmembrane p24 trafficking protein 10 pseudogene 1 (TMED10P1), non-coding RNA",TMED10P1,4033,NR_002807.4,no
"NM_001286615.2 Homo sapiens anoctamin 4 (ANO4), transcript variant 1, mRNA",ANO4,4033,NM_001286615.2,no
"NM_001253384.2 Homo sapiens ribosomal protein L15 (RPL15), transcript variant 6, mRNA",RPL15,4033,NM_001253384.2,no
"NR_034089.1 Homo sapiens CCDC18 antisense RNA 1 (CCDC18-AS1), long non-coding RNA",CCDC18-AS1,4033,NR_034089.1,no
"NR_028038.2 Homo sapiens CASTOR family member 3 (CASTOR3), transcript variant 2, non-coding RNA",CASTOR3,4032,NR_028038.2,no
"NM_007372.3 Homo sapiens DEAD-box helicase 42 (DDX42), transcript variant 1, mRNA",DDX42,4032,NM_007372.3,no
"NR_164126.1 Homo sapiens uncharacterized LOC112267934 (LOC112267934), long non-coding RNA",LOC112267934,4032,NR_164126.1,no
"NM_001008391.3 Homo sapiens coiled-coil domain containing 73 (CCDC73), mRNA",CCDC73,4032,NM_001008391.3,no
"NM_000794.5 Homo sapiens dopamine receptor D1 (DRD1), mRNA",DRD1,4031,NM_000794.5,no
"NM_152433.3 Homo sapiens kelch repeat and BTB domain containing 3 (KBTBD3), transcript variant 1, mRNA",KBTBD3,4030,NM_152433.3,no
"NR_073517.2 Homo sapiens phosphoinositide-3-kinase regulatory subunit 2 (PIK3R2), transcript variant 2, non-coding RNA",PIK3R2,4029,NR_073517.2,no
"NM_012420.3 Homo sapiens interferon induced protein with tetratricopeptide repeats 5 (IFIT5), mRNA",IFIT5,4029,NM_012420.3,no
"NR_002722.2 Homo sapiens zinc finger protein 204, pseudogene (ZNF204P), transcript variant 1, non-coding RNA",ZNF204P,4029,NR_002722.2,no
"NR_103537.1 Homo sapiens family with sequence similarity 87 member A (FAM87A), long non-coding RNA",FAM87A,4028,NR_103537.1,no
"NM_139199.2 Homo sapiens bromodomain containing 8 (BRD8), transcript variant 2, mRNA",BRD8,4028,NM_139199.2,no
"NM_001172705.1 Homo sapiens eukaryotic translation initiation factor 4 gamma 2 (EIF4G2), transcript variant 3, mRNA",EIF4G2,4028,NM_001172705.1,no
"NR_027873.1 Homo sapiens PAX3 and PAX7 binding protein 1 (PAXBP1), transcript variant 3, non-coding RNA",PAXBP1,4028,NR_027873.1,no
"NM_001350918.2 Homo sapiens WD repeat domain 60 (WDR60), transcript variant 6, mRNA",WDR60,4026,NM_001350918.2,no
"NM_144709.4 Homo sapiens pseudouridine synthase 10 (PUS10), transcript variant 1, mRNA",PUS10,4025,NM_144709.4,no
"NM_030755.5 Homo sapiens thioredoxin related transmembrane protein 1 (TMX1), mRNA",TMX1,4025,NM_030755.5,no
"NR_110905.2 Homo sapiens adaptor related protein complex 1 subunit sigma 3 (AP1S3), transcript variant 2, non-coding RNA",AP1S3,4025,NR_110905.2,no
"NM_020039.4 Homo sapiens acid sensing ion channel subunit 1 (ASIC1), transcript variant 1, mRNA",ASIC1,4024,NM_020039.4,no
"NM_005737.3 Homo sapiens ADP ribosylation factor like GTPase 4C (ARL4C), transcript variant 2, mRNA",ARL4C,4024,NM_005737.3,no
"NM_024638.4 Homo sapiens queuine tRNA-ribosyltransferase accessory subunit 2 (QTRT2), transcript variant 1, mRNA",QTRT2,4023,NM_024638.4,no
"NM_001199579.2 Homo sapiens Sad1 and UNC84 domain containing 2 (SUN2), transcript variant 1, mRNA",SUN2,4023,NM_001199579.2,no
"NM_012284.3 Homo sapiens potassium voltage-gated channel subfamily H member 3 (KCNH3), transcript variant 1, mRNA",KCNH3,4023,NM_012284.3,no
"NR_135789.1 Homo sapiens arginine and serine rich protein 1 (RSRP1), transcript variant 17, non-coding RNA",RSRP1,4022,NR_135789.1,no
"NM_001354928.1 Homo sapiens valosin containing protein (VCP), transcript variant 3, mRNA",VCP,4021,NM_001354928.1,no
"NM_001319243.2 Homo sapiens Rab interacting lysosomal protein like 1 (RILPL1), transcript variant 2, mRNA",RILPL1,4021,NM_001319243.2,no
"NM_001719.3 Homo sapiens bone morphogenetic protein 7 (BMP7), mRNA",BMP7,4021,NM_001719.3,no
"NM_001034845.3 Homo sapiens polypeptide N-acetylgalactosaminyltransferase like 6 (GALNTL6), mRNA",GALNTL6,4021,NM_001034845.3,no
"NM_001318066.2 Homo sapiens SEC24 homolog D, COPII coat complex component (SEC24D), transcript variant 2, mRNA",SEC24D,4021,NM_001318066.2,no
"NM_182764.2 Homo sapiens engulfment and cell motility 2 (ELMO2), transcript variant 2, mRNA",ELMO2,4021,NM_182764.2,no
"NM_006017.3 Homo sapiens prominin 1 (PROM1), transcript variant 1, mRNA",PROM1,4021,NM_006017.3,no
"NM_152407.4 Homo sapiens GrpE like 2, mitochondrial (GRPEL2), mRNA",GRPEL2,4020,NM_152407.4,no
"NM_004455.3 Homo sapiens exostosin like glycosyltransferase 1 (EXTL1), mRNA",EXTL1,4020,NM_004455.3,no
"NR_136644.1 Homo sapiens uncharacterized LOC283028 (LOC283028), long non-coding RNA",LOC283028,4020,NR_136644.1,no
"NM_002518.4 Homo sapiens neuronal PAS domain protein 2 (NPAS2), mRNA",NPAS2,4020,NM_002518.4,no
"NM_001272037.2 Homo sapiens thrombospondin type laminin G domain and EAR repeats (TSPEAR), transcript variant 2, mRNA",TSPEAR,4020,NM_001272037.2,no
"NM_017570.5 Homo sapiens 5-oxoprolinase, ATP-hydrolysing (OPLAH), mRNA",OPLAH,4020,NM_017570.5,no
"NM_001013694.3 Homo sapiens SRR1 domain containing (SRRD), mRNA",SRRD,4020,NM_001013694.3,no
"NM_206831.3 Homo sapiens diphthamide biosynthesis 3 (DPH3), transcript variant 1, mRNA",DPH3,4019,NM_206831.3,no
"NM_001369008.1 Homo sapiens adaptor related protein complex 1 subunit sigma 2 (AP1S2), transcript variant 5, mRNA",AP1S2,4018,NM_001369008.1,no
"NM_016076.5 Homo sapiens desumoylating isopeptidase 2 (DESI2), transcript variant 1, mRNA",DESI2,4017,NM_016076.5,no
"NM_199461.4 Homo sapiens nanos C2HC-type zinc finger 1 (NANOS1), mRNA",NANOS1,4017,NM_199461.4,no
"NM_001371279.1 Homo sapiens receptor accessory protein 1 (REEP1), transcript variant 5, mRNA",REEP1,4017,NM_001371279.1,no
"NM_001347821.2 Homo sapiens oxoglutarate dehydrogenase like (OGDHL), transcript variant 6, mRNA",OGDHL,4017,NM_001347821.2,no
"NM_001013693.3 Homo sapiens low density lipoprotein receptor class A domain containing 2 (LDLRAD2), mRNA",LDLRAD2,4016,NM_001013693.3,no
"NM_001377169.1 Homo sapiens shieldin complex subunit 2 (SHLD2), transcript variant 14, mRNA",SHLD2,4016,NM_001377169.1,no
"NM_001792.5 Homo sapiens cadherin 2 (CDH2), transcript variant 1, mRNA",CDH2,4016,NM_001792.5,no
"NM_152513.4 Homo sapiens meiotic double-stranded break formation protein 1 (MEI1), mRNA",MEI1,4016,NM_152513.4,no
"NR_038944.1 Homo sapiens long intergenic non-protein coding RNA 1310 (LINC01310), long non-coding RNA",LINC01310,4015,NR_038944.1,no
"NM_001329394.2 Homo sapiens vacuole membrane protein 1 (VMP1), transcript variant 2, mRNA",VMP1,4015,NM_001329394.2,no
"NM_152905.4 Homo sapiens NEDD1 gamma-tubulin ring complex targeting factor (NEDD1), transcript variant 2, mRNA",NEDD1,4015,NM_152905.4,no
"NR_159734.1 Homo sapiens chordin like 1 (CHRDL1), transcript variant 11, non-coding RNA",CHRDL1,4015,NR_159734.1,no
"NR_038374.1 Homo sapiens long intergenic non-protein coding RNA 837 (LINC00837), transcript variant 1, long non-coding RNA",LINC00837,4014,NR_038374.1,no
"NM_001145004.2 Homo sapiens golgin A6 family like 6 (GOLGA6L6), mRNA",GOLGA6L6,4013,NM_001145004.2,no
"NM_014718.4 Homo sapiens calsyntenin 3 (CLSTN3), mRNA",CLSTN3,4013,NM_014718.4,no
"NR_149020.1 Homo sapiens growth arrest associated lncRNA 1 (GASAL1), long non-coding RNA",GASAL1,4013,NR_149020.1,no
"NM_001329239.2 Homo sapiens tissue factor pathway inhibitor (TFPI), transcript variant 4, mRNA",TFPI,4012,NM_001329239.2,no
"NR_163251.1 Homo sapiens neuregulin 3 (NRG3), transcript variant 10, non-coding RNA",NRG3,4012,NR_163251.1,no
"NM_001085411.3 Homo sapiens NAD kinase 2, mitochondrial (NADK2), transcript variant 1, mRNA",NADK2,4011,NM_001085411.3,no
"NM_003734.4 Homo sapiens amine oxidase copper containing 3 (AOC3), transcript variant 1, mRNA",AOC3,4011,NM_003734.4,no
"NM_001323631.2 Homo sapiens HAUS augmin like complex subunit 2 (HAUS2), transcript variant 5, mRNA",HAUS2,4010,NM_001323631.2,no
"NM_001318909.1 Homo sapiens general transcription factor IIIC subunit 2 (GTF3C2), transcript variant 3, mRNA",GTF3C2,4010,NM_001318909.1,no
"NR_160743.1 Homo sapiens N-deacetylase and N-sulfotransferase 2 (NDST2), transcript variant 3, non-coding RNA",NDST2,4009,NR_160743.1,no
"NM_172095.4 Homo sapiens cation channel sperm associated 2 (CATSPER2), transcript variant 2, mRNA",CATSPER2,4009,NM_172095.4,no
"NM_000935.2 Homo sapiens procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (PLOD2), transcript variant 2, mRNA",PLOD2,4009,NM_000935.2,no
"NM_001349145.1 Homo sapiens beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) (B3GALNT1), transcript variant 23, mRNA",globoside blood group,4009,NM_001349145.1,no
"NM_145913.5 Homo sapiens solute carrier family 5 member 8 (SLC5A8), mRNA",SLC5A8,4009,NM_145913.5,no
"NM_005199.5 Homo sapiens cholinergic receptor nicotinic gamma subunit (CHRNG), mRNA",CHRNG,4009,NM_005199.5,no
"NM_014808.4 Homo sapiens FERM, ARH/RhoGEF and pleckstrin domain protein 2 (FARP2), transcript variant 1, mRNA",FARP2,4009,NM_014808.4,no
"NM_001319207.2 Homo sapiens TNF receptor associated factor 5 (TRAF5), transcript variant 4, mRNA",TRAF5,4009,NM_001319207.2,no
"NM_001280794.2 Homo sapiens EPH receptor B6 (EPHB6), transcript variant 2, mRNA",EPHB6,4008,NM_001280794.2,no
"NM_024675.4 Homo sapiens partner and localizer of BRCA2 (PALB2), mRNA",PALB2,4008,NM_024675.4,no
"NM_198277.3 Homo sapiens solute carrier family 37 member 2 (SLC37A2), transcript variant 1, mRNA",SLC37A2,4008,NM_198277.3,no
"NM_001190720.2 Homo sapiens inhibitor of nuclear factor kappa B kinase subunit beta (IKBKB), transcript variant 2, mRNA",IKBKB,4008,NM_001190720.2,no
"NM_001319119.2 Homo sapiens aspartyl aminopeptidase (DNPEP), transcript variant 5, mRNA",DNPEP,4008,NM_001319119.2,no
"NM_001195555.2 Homo sapiens clathrin interactor 1 (CLINT1), transcript variant 1, mRNA",CLINT1,4006,NM_001195555.2,no
"NM_005499.3 Homo sapiens ubiquitin like modifier activating enzyme 2 (UBA2), mRNA",UBA2,4005,NM_005499.3,no
"NM_001258243.2 Homo sapiens transmembrane protein 218 (TMEM218), transcript variant 1, mRNA",TMEM218,4005,NM_001258243.2,no
"NM_005982.4 Homo sapiens SIX homeobox 1 (SIX1), mRNA",SIX1,4005,NM_005982.4,no
"NM_003395.4 Homo sapiens Wnt family member 9A (WNT9A), mRNA",WNT9A,4005,NM_003395.4,no
"NM_001282400.2 Homo sapiens zinc finger matrin-type 1 (ZMAT1), transcript variant 2, mRNA",ZMAT1,4004,NM_001282400.2,no
"NR_146778.1 Homo sapiens sorting nexin 14 (SNX14), transcript variant 31, non-coding RNA",SNX14,4004,NR_146778.1,no
"NM_001378355.1 Homo sapiens mediator complex subunit 25 (MED25), transcript variant 2, mRNA",MED25,4004,NM_001378355.1,no
"NM_005892.4 Homo sapiens formin like 1 (FMNL1), mRNA",FMNL1,4003,NM_005892.4,no
"NM_175733.4 Homo sapiens synaptotagmin 9 (SYT9), mRNA",SYT9,4002,NM_175733.4,no
"NM_003413.4 Homo sapiens Zic family member 3 (ZIC3), transcript variant 1, mRNA",ZIC3,4001,NM_003413.4,no
"NM_078487.2 Homo sapiens cyclin dependent kinase inhibitor 2B (CDKN2B), transcript variant 2, mRNA",CDKN2B,4001,NM_078487.2,no
"NM_019015.2 Homo sapiens chondroitin polymerizing factor 2 (CHPF2), transcript variant 1, mRNA",CHPF2,4001,NM_019015.2,no
"NM_005908.4 Homo sapiens mannosidase beta (MANBA), mRNA",MANBA,4001,NM_005908.4,no
"NM_139248.3 Homo sapiens lipase H (LIPH), mRNA",LIPH,4001,NM_139248.3,no
"NM_001316996.2 Homo sapiens zinc finger protein 257 (ZNF257), transcript variant 2, mRNA",ZNF257,4000,NM_001316996.2,no
"NM_001322365.1 Homo sapiens hexokinase 1 (HK1), transcript variant 7, mRNA",HK1,4000,NM_001322365.1,no
"NM_001324288.2 Homo sapiens signal transducing adaptor molecule (STAM), transcript variant 8, mRNA",STAM,3999,NM_001324288.2,no
"NR_125382.1 Homo sapiens uncharacterized LOC103611081 (LOC103611081), long non-coding RNA",LOC103611081,3999,NR_125382.1,no
"NM_001287816.1 Homo sapiens ubiquitin associated protein 2 like (UBAP2L), transcript variant 4, mRNA",UBAP2L,3999,NM_001287816.1,no
"NM_003842.5 Homo sapiens TNF receptor superfamily member 10b (TNFRSF10B), transcript variant 1, mRNA",TNFRSF10B,3998,NM_003842.5,no
"NR_160787.1 Homo sapiens chromosome 17 open reading frame 102 (C17orf102), long non-coding RNA",C17orf102,3997,NR_160787.1,no
"NM_022089.4 Homo sapiens ATPase cation transporting 13A2 (ATP13A2), transcript variant 1, mRNA",ATP13A2,3996,NM_022089.4,no
