Supplementary Table 3: Information of Sequences Used to Test the Model's Ability to Generalize,,,,,,,,
,ID,Organism Name,MolTyp,Topology,Description,Genome Type,Length,Family
7245,NM_001347536.1,,,,"NM_001347536.1 Mus musculus ABCE maturation factor (LTO1), transcript variant 1, mRNA",,,
7246,NM_001347560.1,,,,"NM_001347560.1 Mus musculus MOB kinase activator 2 (Mob2), transcript variant 2, mRNA",,,
7247,NM_001347562.1,,,,"NM_001347562.1 Mus musculus toll interacting protein (Tollip), transcript variant 2, mRNA",,,
7248,NM_001347565.1,,,,"NM_001347565.1 Mus musculus lamin tail domain containing 2 (Lmntd2), transcript variant 1, mRNA",,,
7249,NM_001347583.1,,,,"NM_001347583.1 Mus musculus nischarin (Nisch), transcript variant 2, mRNA",,,
7250,NM_001347585.1,,,,"NM_001347585.1 Mus musculus SH3-domain binding protein 5 (BTK-associated) (Sh3bp5), transcript variant 2, mRNA",,,
7251,NM_001347586.1,,,,"NM_001347586.1 Mus musculus FBJ osteosarcoma oncogene B (Fosb), transcript variant 2, mRNA",,,
7252,NM_001347590.1,,,,"NM_001347590.1 Mus musculus paired related homeobox protein-like 1 (Prrxl1), transcript variant 1, mRNA",,,
7253,NM_001347600.1,,,,"NM_001347600.1 Mus musculus F-box and leucine-rich repeat protein 3 (Fbxl3), transcript variant 2, mRNA",,,
7254,NM_001347609.1,,,,"NM_001347609.1 Mus musculus msh homeobox 3 (Msx3), transcript variant 2, mRNA",,,
7255,NM_001347621.2,,,,"NM_001347621.2 Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant 2, mRNA",,,
7256,NM_001347624.1,,,,"NM_001347624.1 Mus musculus StAR-related lipid transfer (START) domain containing 4 (Stard4), transcript variant 2, mRNA",,,
7257,NM_001347626.1,,,,"NM_001347626.1 Mus musculus homeobox containing 1 (Hmbox1), transcript variant 1, mRNA",,,
7258,NM_001347628.1,,,,"NM_001347628.1 Mus musculus LIM domain only 7 (Lmo7), transcript variant 2, mRNA",,,
7259,NM_001347630.1,,,,"NM_001347630.1 Mus musculus family with sequence similarity 53, member B (Fam53b), transcript variant 3, mRNA",,,
7260,NM_001347632.2,,,,"NM_001347632.2 Mus musculus deleted in malignant brain tumors 1 (Dmbt1), transcript variant 1, mRNA",,,
7261,NM_001347633.1,,,,"NM_001347633.1 Mus musculus matrix-remodelling associated 7 (Mxra7), transcript variant 2, mRNA",,,
7262,NM_001347638.1,,,,"NM_001347638.1 Mus musculus fibroblast growth factor receptor 2 (Fgfr2), transcript variant 3, mRNA",,,
7263,NM_001347640.1,,,,"NM_001347640.1 Mus musculus Tia1 cytotoxic granule-associated RNA binding protein-like 1 (Tial1), transcript variant 2, mRNA",,,
7264,NM_001347645.1,,,,"NM_001347645.1 Mus musculus mitochondrial ribosomal protein L58 (Mrpl58), transcript variant 2, mRNA",,,
7265,NM_001347647.1,,,,"NM_001347647.1 Mus musculus otopetrin 3 (Otop3), transcript variant 2, mRNA",,,
7266,NM_001347651.2,,,,"NM_001347651.2 Mus musculus CD300 molecule like family member B (Cd300lb), transcript variant 2, mRNA",,,
7267,NM_001347652.1,,,,"NM_001347652.1 Mus musculus B cell CLL/lymphoma 7C (Bcl7c), transcript variant 1, mRNA",,,
7268,NM_001347656.1,,,,"NM_001347656.1 Mus musculus CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase) (Cdipt), transcript variant 2, mRNA",,,
7269,NM_001347658.1,,,,"NM_001347658.1 Mus musculus ataxin 2-like (Atxn2l), transcript variant 2, mRNA",,,
7270,NM_001348026.1,,,,"NM_001348026.1 Mus musculus B cell leukemia/lymphoma 6 (Bcl6), transcript variant 2, mRNA",,,
7271,NM_001348055.1,,,,"NM_001348055.1 Mus musculus ferrochelatase (Fech), transcript variant 2, mRNA",,,
7272,NM_001348087.1,,,,"NM_001348087.1 Mus musculus uridine monophosphate synthetase (Umps), transcript variant 2, mRNA",,,
7273,NM_001348093.1,,,,"NM_001348093.1 Mus musculus glutaredoxin 3 (Glrx3), transcript variant 2, mRNA",,,
7274,NM_001348095.1,,,,"NM_001348095.1 Mus musculus apolipoprotein A-V (Apoa5), transcript variant 2, mRNA",,,
7275,NM_001348100.1,,,,"NM_001348100.1 Mus musculus N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1 (Ndst1), transcript variant 2, mRNA",,,
7276,NM_001348108.1,,,,"NM_001348108.1 Mus musculus small regulatory polypeptide of amino acid response (Spaar), mRNA",,,
7277,NM_001348167.1,,,,"NM_001348167.1 Mus musculus leucyl-tRNA synthetase, mitochondrial (Lars2), transcript variant 2, mRNA",,,
7278,NM_001348180.1,,,,"NM_001348180.1 Mus musculus KN motif and ankyrin repeat domains 1 (Kank1), transcript variant 2, mRNA",,,
7279,NM_001348196.1,,,,"NM_001348196.1 Mus musculus tRNA methyltransferase 10A (Trmt10a), transcript variant 2, mRNA",,,
7280,NM_001348205.1,,,,"NM_001348205.1 Mus musculus Sp7 transcription factor 7 (Sp7), transcript variant 2, mRNA",,,
7281,NM_001348207.1,,,,"NM_001348207.1 Mus musculus kinase suppressor of ras 1 (Ksr1), transcript variant 2, mRNA",,,
7282,NM_001348231.1,,,,"NM_001348231.1 Mus musculus zinc finger protein 598 (Zfp598), transcript variant 2, mRNA",,,
7283,NM_001348234.1,,,,"NM_001348234.1 Mus musculus F-box DNA helicase 1 (Fbh1), transcript variant 2, mRNA",,,
7284,NM_001348254.1,,,,"NM_001348254.1 Mus musculus twinkle mtDNA helicase (Twnk), transcript variant 3, mRNA",,,
7285,NM_001348256.1,,,,"NM_001348256.1 Mus musculus pre-mRNA processing factor 40B (Prpf40b), transcript variant 1, mRNA",,,
7286,NM_001348260.1,,,,"NM_001348260.1 Mus musculus ankyrin repeat domain 49 (Ankrd49), transcript variant 2, mRNA",,,
7287,NM_001348274.1,,,,"NM_001348274.1 Mus musculus docking protein 7 (Dok7), transcript variant 2, mRNA",,,
7288,NM_001348727.1,,,,"NM_001348727.1 Mus musculus hydroxyacyl-thioester dehydratase type 2 (Htd2), mRNA",,,
7289,NM_001351947.1,,,,"NM_001351947.1 Mus musculus olfactomedin 4 (Olfm4), mRNA",,,
7290,NM_001352887.1,,,,"NM_001352887.1 Mus musculus RIKEN cDNA 2610001J05 gene (2610001J05Rik), mRNA",,,
7291,NM_001353141.1,,,,"NM_001353141.1 Mus musculus myosin X (Myo10), transcript variant 2, mRNA",,,
7292,NM_001353989.2,,,,"NM_001353989.2 Mus musculus zinc finger protein 660 (Zfp660), transcript variant 1, mRNA",,,
7293,NM_001354493.1,,,,"NM_001354493.1 Mus musculus RIKEN cDNA A730046J19 gene (A730046J19Rik), mRNA",,,
7294,NM_001354706.1,,,,"NM_001354706.1 Mus musculus lysine-rich coiled-coil 1 (Krcc1), transcript variant 2, mRNA",,,
7295,NM_001354753.1,,,,"NM_001354753.1 Mus musculus predicted gene 10509 (Gm10509), mRNA",,,
7296,NM_001354986.1,,,,"NM_001354986.1 Mus musculus cerebellar degeneration-related 2 (Cdr2), transcript variant 2, mRNA",,,
7297,NM_001355020.2,,,,"NM_001355020.2 Mus musculus cannabinoid receptor 1 (brain) (Cnr1), transcript variant 2, mRNA",,,
7298,NM_001355044.1,,,,"NM_001355044.1 Mus musculus capping protein (actin filament) muscle Z-line, alpha 1 (Capza1), transcript variant 2, mRNA",,,
7299,NM_001355046.1,,,,"NM_001355046.1 Mus musculus calcium binding protein 39 (Cab39), transcript variant 2, mRNA",,,
7300,NM_001355054.1,,,,"NM_001355054.1 Mus musculus mitogen-activated protein kinase kinase kinase kinase 1 (Map4k1), transcript variant 2, mRNA",,,
7301,NM_001355058.1,,,,"NM_001355058.1 Mus musculus WEE 1 homolog 1 (S. pombe) (Wee1), transcript variant 2, mRNA",,,
7302,NM_001355062.1,,,,"NM_001355062.1 Mus musculus major histocompatibility complex, class I-related (Mr1), transcript variant 2, mRNA",,,
7303,NM_001355068.1,,,,"NM_001355068.1 Mus musculus ectonucleoside triphosphate diphosphohydrolase 6 (Entpd6), transcript variant 2, mRNA",,,
7304,NM_001355075.1,,,,"NM_001355075.1 Mus musculus exostoses (multiple) 2 (Ext2), transcript variant 1, mRNA",,,
7305,NM_001355097.1,,,,"NM_001355097.1 Mus musculus helicase-like transcription factor (Hltf), transcript variant 5, mRNA",,,
7306,NM_001355104.1,,,,"NM_001355104.1 Mus musculus exoribonuclease 2 (Eri2), transcript variant 2, mRNA",,,
7307,NM_001355110.1,,,,"NM_001355110.1 Mus musculus GATA binding protein 3 (Gata3), transcript variant 2, mRNA",,,
7308,NM_001355114.1,,,,"NM_001355114.1 Mus musculus THAP domain containing 12 (Thap12), transcript variant 2, mRNA",,,
7309,NM_001355122.1,,,,"NM_001355122.1 Mus musculus progestin and adipoQ receptor family member VIII (Paqr8), transcript variant 2, mRNA",,,
7310,NM_001355130.1,,,,"NM_001355130.1 Mus musculus transmembrane 4 superfamily member 1 (Tm4sf1), transcript variant 2, mRNA",,,
7311,NM_001355131.1,,,,"NM_001355131.1 Mus musculus zinc finger protein 819 (Zfp819), transcript variant 2, mRNA",,,
7312,NM_001355146.1,,,,"NM_001355146.1 Mus musculus phosphatidylinositol-5-phosphate 4-kinase, type II, alpha (Pip4k2a), transcript variant 2, mRNA",,,
7313,NM_001355152.1,,,,"NM_001355152.1 Mus musculus integrin-linked kinase-associated serine/threonine phosphatase 2C (Ilkap), transcript variant 2, mRNA",,,
7314,NM_001355159.1,,,,"NM_001355159.1 Mus musculus NUF2, NDC80 kinetochore complex component (Nuf2), transcript variant 2, mRNA",,,
7315,NM_001355163.1,,,,"NM_001355163.1 Mus musculus ribophorin II (Rpn2), transcript variant 1, mRNA",,,
7316,NM_001355183.1,,,,"NM_001355183.1 Mus musculus clavesin 1 (Clvs1), transcript variant 2, mRNA",,,
7317,NM_001355184.1,,,,"NM_001355184.1 Mus musculus endoplasmic reticulum protein 44 (Erp44), transcript variant 2, mRNA",,,
7318,NM_001355200.1,,,,"NM_001355200.1 Mus musculus GTPase activating RANGAP domain-like 3 (Garnl3), transcript variant 1, mRNA",,,
7319,NM_001355206.1,,,,"NM_001355206.1 Mus musculus zinc finger and BTB domain containing 7B (Zbtb7b), transcript variant 1, mRNA",,,
7320,NM_001355231.1,,,,"NM_001355231.1 Mus musculus pleckstrin and Sec7 domain containing 4 (Psd4), transcript variant 1, mRNA",,,
7321,NM_001355234.1,,,,"NM_001355234.1 Mus musculus heparan sulfate 2-O-sulfotransferase 1 (Hs2st1), transcript variant 1, mRNA",,,
7322,NM_001355238.1,,,,"NM_001355238.1 Mus musculus phospholipid phosphatase 7 (inactive) (Plpp7), transcript variant 2, mRNA",,,
7323,NM_001355253.1,,,,"NM_001355253.1 Mus musculus GATA binding protein 2 (Gata2), transcript variant 2, mRNA",,,
7324,NM_001355257.1,,,,"NM_001355257.1 Mus musculus G protein-coupled receptor 162 (Gpr162), transcript variant 1, mRNA",,,
7325,NM_001355259.1,,,,"NM_001355259.1 Mus musculus spermatid perinuclear RNA binding protein (Strbp), transcript variant 1, mRNA",,,
7326,NM_001355262.1,,,,"NM_001355262.1 Mus musculus interferon-induced protein with tetratricopeptide repeats 2 (Ifit2), transcript variant 2, mRNA",,,
7327,NM_001355264.1,,,,"NM_001355264.1 Mus musculus breast cancer anti-estrogen resistance 3 (Bcar3), transcript variant 2, mRNA",,,
7328,NM_001355266.1,,,,"NM_001355266.1 Mus musculus THUMP domain containing 3 (Thumpd3), transcript variant 2, mRNA",,,
7329,NM_001355269.1,,,,"NM_001355269.1 Mus musculus leucine-rich repeats and immunoglobulin-like domains 1 (Lrig1), transcript variant 2, mRNA",,,
7330,NM_001355270.1,,,,"NM_001355270.1 Mus musculus patched domain containing 4 (Ptchd4), transcript variant 1, mRNA",,,
7331,NM_001355280.1,,,,"NM_001355280.1 Mus musculus zinc finger protein 944 (Zfp944), transcript variant 2, mRNA",,,
7332,NM_001355293.1,,,,"NM_001355293.1 Mus musculus mitogen-activated protein kinase binding protein 1 (Mapkbp1), transcript variant 1, mRNA",,,
7333,NM_001355366.1,,,,"NM_001355366.1 Mus musculus far upstream element (FUSE) binding protein 1 (Fubp1), transcript variant 1, mRNA",,,
7334,NM_001355375.1,,,,"NM_001355375.1 Mus musculus thiosulfate sulfurtransferase (rhodanese)-like domain containing 2 (Tstd2), transcript variant 2, mRNA",,,
7335,NM_001355378.1,,,,"NM_001355378.1 Mus musculus coiled-coil domain containing 171 (Ccdc171), transcript variant 1, mRNA",,,
7336,NM_001355391.1,,,,"NM_001355391.1 Mus musculus N-myc downstream regulated gene 3 (Ndrg3), transcript variant 3, mRNA",,,
7337,NM_001355412.1,,,,"NM_001355412.1 Mus musculus neurochondrin (Ncdn), transcript variant 2, mRNA",,,
7338,NM_001355414.1,,,,"NM_001355414.1 Mus musculus replication timing regulatory factor 1 (Rif1), transcript variant 2, mRNA",,,
7339,NM_001355416.1,,,,"NM_001355416.1 Mus musculus autophagy related 13 (Atg13), transcript variant 1, mRNA",,,
7340,NM_001355426.1,,,,"NM_001355426.1 Mus musculus bladder cancer associated protein (Blcap), transcript variant 1, mRNA",,,
7341,NM_001355430.1,,,,"NM_001355430.1 Mus musculus solute carrier family 23 (nucleobase transporters), member 2 (Slc23a2), transcript variant 2, mRNA",,,
7342,NM_001355432.1,,,,"NM_001355432.1 Mus musculus cyclin L1 (Ccnl1), transcript variant 2, mRNA",,,
7343,NM_001355438.1,,,,"NM_001355438.1 Mus musculus DnaJ heat shock protein family (Hsp40) member B5 (Dnajb5), transcript variant 1, mRNA",,,
7344,NM_001355441.1,,,,"NM_001355441.1 Mus musculus ubiquinol-cytochrome c reductase complex assembly factor 1 (Uqcc1), transcript variant 2, mRNA",,,
7345,NM_001355466.1,,,,"NM_001355466.1 Mus musculus natriuretic peptide receptor 2 (Npr2), transcript variant 2, mRNA",,,
7346,NM_001355477.1,,,,"NM_001355477.1 Mus musculus ATP binding cassette subfamily G member 2 (Junior blood group) (Abcg2), transcript variant 2, mRNA",,,
7347,NM_001355489.1,,,,"NM_001355489.1 Mus musculus exosome component 10 (Exosc10), transcript variant 4, mRNA",,,
7348,NM_001355491.1,,,,"NM_001355491.1 Mus musculus cytidine 5'-triphosphate synthase (Ctps), transcript variant 2, mRNA",,,
7349,NM_001355492.1,,,,"NM_001355492.1 Mus musculus erythrocyte membrane protein band 4.1 like 4b (Epb41l4b), transcript variant 2, mRNA",,,
7350,NM_001355493.1,,,,"NM_001355493.1 Mus musculus exostoses (multiple)-like 1 (Extl1), transcript variant 2, mRNA",,,
7351,NM_001355494.1,,,,"NM_001355494.1 Mus musculus ubiquitin-conjugating enzyme E2J 1 (Ube2j1), transcript variant 2, mRNA",,,
7352,NM_001355496.1,,,,"NM_001355496.1 Mus musculus asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase) (Alg2), transcript variant 2, mRNA",,,
7353,NM_001355499.1,,,,"NM_001355499.1 Mus musculus macoilin 1 (Maco1), transcript variant 2, mRNA",,,
7354,NM_001355503.1,,,,"NM_001355503.1 Mus musculus transmembrane protein 246 (Tmem246), transcript variant 2, mRNA",,,
7355,NM_001355504.1,,,,"NM_001355504.1 Mus musculus F-box protein 3 (Fbxo3), transcript variant 3, mRNA",,,
7356,NM_001355510.1,,,,"NM_001355510.1 Mus musculus ADP-ribosylation factor 3 (Arf3), transcript variant 2, mRNA",,,
7357,NM_001355512.1,,,,"NM_001355512.1 Mus musculus UFM1 specific ligase 1 (Ufl1), transcript variant 2, mRNA",,,
7358,NM_001355513.1,,,,"NM_001355513.1 Mus musculus schlafen 10, pseudogene (Slfn10-ps), transcript variant 2, mRNA",,,
7359,NM_001355532.1,,,,"NM_001355532.1 Mus musculus single-stranded DNA binding protein 3 (Ssbp3), transcript variant 3, mRNA",,,
7360,NM_001355536.1,,,,"NM_001355536.1 Mus musculus MINDY lysine 48 deubiquitinase 3 (Mindy3), transcript variant 3, mRNA",,,
7361,NM_001355550.1,,,,"NM_001355550.1 Mus musculus cullin 1 (Cul1), transcript variant 2, mRNA",,,
7362,NM_001355581.1,,,,"NM_001355581.1 Mus musculus coiled-coil domain containing 34 (Ccdc34), transcript variant 2, mRNA",,,
7363,NM_001355584.1,,,,"NM_001355584.1 Mus musculus phosphoinositide-3-kinase regulatory subunit 3 (Pik3r3), transcript variant 2, mRNA",,,
7364,NM_001355595.1,,,,"NM_001355595.1 Mus musculus Tax1 (human T cell leukemia virus type I) binding protein 1 (Tax1bp1), transcript variant 2, mRNA",,,
7365,NM_001355601.1,,,,"NM_001355601.1 Mus musculus transmembrane serine protease 6 (Tmprss6), transcript variant 2, mRNA",,,
7366,NM_001355603.1,,,,"NM_001355603.1 Mus musculus RIKEN cDNA 9930104L06 gene (9930104L06Rik), transcript variant 2, mRNA",,,
7367,NM_001355609.1,,,,"NM_001355609.1 Mus musculus integrin beta 1 binding protein 1 (Itgb1bp1), transcript variant 1, mRNA",,,
7368,NM_001355615.1,,,,"NM_001355615.1 Mus musculus oxidative stress induced growth inhibitor family member 2 (Osgin2), transcript variant 2, mRNA",,,
7369,NM_001355617.1,,,,"NM_001355617.1 Mus musculus TraB domain containing (Trabd), transcript variant 2, mRNA",,,
7370,NM_001355628.1,,,,"NM_001355628.1 Mus musculus transmembrane protein 87B (Tmem87b), transcript variant 1, mRNA",,,
7371,NM_001355636.1,,,,"NM_001355636.1 Mus musculus tensin 2 (Tns2), transcript variant 2, mRNA",,,
7372,NM_001355645.1,,,,"NM_001355645.1 Mus musculus SIN3-HDAC complex associated factor (Sinhcaf), transcript variant 2, mRNA",,,
7373,NM_001355655.1,,,,"NM_001355655.1 Mus musculus prokineticin receptor 1 (Prokr1), transcript variant 2, mRNA",,,
7374,NM_001355657.1,,,,"NM_001355657.1 Mus musculus WD repeat domain 3 (Wdr3), transcript variant 2, mRNA",,,
7375,NM_001355662.1,,,,"NM_001355662.1 Mus musculus ankyrin repeat and SOCS box-containing 4 (Asb4), transcript variant 2, mRNA",,,
7376,NM_001355663.1,,,,"NM_001355663.1 Mus musculus calsequestrin 2 (Casq2), transcript variant 1, mRNA",,,
7377,NM_001355668.1,,,,"NM_001355668.1 Mus musculus Kruppel-like factor 15 (Klf15), transcript variant 2, mRNA",,,
7378,NM_001355674.1,,,,"NM_001355674.1 Mus musculus charged multivesicular body protein 3 (Chmp3), transcript variant 2, mRNA",,,
7379,NM_001355676.1,,,,"NM_001355676.1 Mus musculus DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 (Ddx5), transcript variant 2, mRNA",,,
7380,NM_001355678.2,,,,"NM_001355678.2 Mus musculus transmembrane protein 56 (Tmem56), transcript variant 1, mRNA",,,
7381,NM_001355680.1,,,,"NM_001355680.1 Mus musculus interleukin 7 receptor (Il7r), transcript variant 2, mRNA",,,
7382,NM_001355681.1,,,,"NM_001355681.1 Mus musculus pantothenate kinase 2 (Pank2), transcript variant 3, mRNA",,,
7383,NM_001355686.1,,,,"NM_001355686.1 Mus musculus BCL2-like 14 (apoptosis facilitator) (Bcl2l14), transcript variant 2, mRNA",,,
7384,NM_001355687.1,,,,"NM_001355687.1 Mus musculus prenylcysteine oxidase 1 (Pcyox1), transcript variant 2, mRNA",,,
7385,NM_001355689.1,,,,"NM_001355689.1 Mus musculus GDNF-inducible zinc finger protein 1 (Gzf1), transcript variant 1, mRNA",,,
7386,NM_001355690.1,,,,"NM_001355690.1 Mus musculus tetratricopeptide repeat domain 17 (Ttc17), transcript variant 2, mRNA",,,
7387,NM_001355692.1,,,,"NM_001355692.1 Mus musculus adiponectin receptor 2 (Adipor2), transcript variant 2, mRNA",,,
7388,NM_001355696.1,,,,"NM_001355696.1 Mus musculus Ecm29 proteasome adaptor and scaffold (Ecpas), transcript variant 1, mRNA",,,
7389,NM_001355712.1,,,,"NM_001355712.1 Mus musculus lysophospholipase 1 (Lypla1), transcript variant 2, mRNA",,,
7390,NM_001355713.1,,,,"NM_001355713.1 Mus musculus coiled-coil domain containing 91 (Ccdc91), transcript variant 2, mRNA",,,
7391,NM_001355716.1,,,,"NM_001355716.1 Mus musculus family with sequence similarity 110, member B (Fam110b), transcript variant 2, mRNA",,,
7392,NM_001355722.1,,,,"NM_001355722.1 Mus musculus adhesion G protein-coupled receptor E1 (Adgre1), transcript variant 2, mRNA",,,
7393,NM_001355724.1,,,,"NM_001355724.1 Mus musculus PRAME family member 8 (Pramef8), transcript variant 2, mRNA",,,
7394,NM_001355726.1,,,,"NM_001355726.1 Mus musculus synaptotagmin II (Syt2), transcript variant 2, mRNA",,,
7395,NM_001355727.1,,,,"NM_001355727.1 Mus musculus general transcription factor II E, polypeptide 1 (alpha subunit) (Gtf2e1), transcript variant 2, mRNA",,,
7396,NM_001355730.1,,,,"NM_001355730.1 Mus musculus zinc finger protein 933 (Zfp933), transcript variant 2, mRNA",,,
7397,NM_001355731.1,,,,"NM_001355731.1 Mus musculus scaffolding protein involved in DNA repair (Spidr), transcript variant 2, mRNA",,,
7398,NM_001355732.1,,,,"NM_001355732.1 Mus musculus erythrocyte membrane protein band 4.1 like 3 (Epb41l3), transcript variant 2, mRNA",,,
7399,NM_001355738.1,,,,"NM_001355738.1 Mus musculus nephronophthisis 4 (juvenile) homolog (human) (Nphp4), transcript variant 2, mRNA",,,
7400,NM_001355740.1,,,,"NM_001355740.1 Mus musculus testis expressed gene 10 (Tex10), transcript variant 2, mRNA",,,
7401,NM_001355742.1,,,,"NM_001355742.1 Mus musculus forkhead box N2 (Foxn2), transcript variant 3, mRNA",,,
7402,NM_001355745.1,,,,"NM_001355745.1 Mus musculus required for meiotic nuclear division 5 homolog A (Rmnd5a), transcript variant 2, mRNA",,,
7403,NM_001355757.1,,,,"NM_001355757.1 Mus musculus immunity-related GTPase family M member 1 (Irgm1), transcript variant 2, mRNA",,,
7404,NM_001355764.1,,,,"NM_001355764.1 Mus musculus ubiquitin-conjugating enzyme E2F (putative) (Ube2f), transcript variant 5, mRNA",,,
7405,NM_001355768.1,,,,"NM_001355768.1 Mus musculus TRPM8 channel-associated factor 1 (Tcaf1), transcript variant 1, mRNA",,,
7406,NM_001356264.1,,,,"NM_001356264.1 Mus musculus cyclin Pas1/PHO80 domain containing 1 (Cnppd1), transcript variant 2, mRNA",,,
7407,NM_001356268.1,,,,"NM_001356268.1 Mus musculus zinc finger protein 13 (Zfp13), transcript variant 2, mRNA",,,
7408,NM_001356272.1,,,,"NM_001356272.1 Mus musculus transmembrane protein with EGF-like and two follistatin-like domains 1 (Tmeff1), transcript variant 1, mRNA",,,
7409,NM_001356273.1,,,,"NM_001356273.1 Mus musculus arginine/serine-rich coiled-coil 1 (Rsrc1), transcript variant 1, mRNA",,,
7410,NM_001356276.1,,,,"NM_001356276.1 Mus musculus solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1 (Slc35d1), transcript variant 1, mRNA",,,
7411,NM_001356281.1,,,,"NM_001356281.1 Mus musculus leucine rich repeat containing 19 (Lrrc19), transcript variant 2, mRNA",,,
7412,NM_001356282.1,,,,"NM_001356282.1 Mus musculus zinc finger and BTB domain containing 14 (Zbtb14), transcript variant 2, mRNA",,,
7413,NM_001356285.1,,,,"NM_001356285.1 Mus musculus glycerol-3-phosphate acyltransferase, mitochondrial (Gpam), transcript variant 2, mRNA",,,
7414,NM_001356286.1,,,,"NM_001356286.1 Mus musculus mesothelin (Msln), transcript variant 1, mRNA",,,
7415,NM_001356287.1,,,,"NM_001356287.1 Mus musculus raftlin family member 2 (Rftn2), transcript variant 2, mRNA",,,
7416,NM_001356292.1,,,,"NM_001356292.1 Mus musculus PRP38 pre-mRNA processing factor 38 (yeast) domain containing B (Prpf38b), transcript variant 2, mRNA",,,
7417,NM_001356293.1,,,,"NM_001356293.1 Mus musculus topoisomerase I binding, arginine/serine-rich like (Toporsl), transcript variant 2, mRNA",,,
7418,NM_001356298.1,,,,"NM_001356298.1 Mus musculus potassium channel tetramerisation domain containing 20 (Kctd20), transcript variant 2, mRNA",,,
7419,NM_001356301.1,,,,"NM_001356301.1 Mus musculus tetraspanin 9 (Tspan9), transcript variant 2, mRNA",,,
7420,NM_001356304.1,,,,"NM_001356304.1 Mus musculus PTK6 protein tyrosine kinase 6 (Ptk6), transcript variant 2, mRNA",,,
7421,NM_001356305.1,,,,"NM_001356305.1 Mus musculus LIM domain only 3 (Lmo3), transcript variant 2, mRNA",,,
7422,NM_001356308.1,,,,"NM_001356308.1 Mus musculus zinc finger protein 46 (Zfp46), transcript variant 1, mRNA",,,
7423,NM_001356309.1,,,,"NM_001356309.1 Mus musculus glutathione S-transferase, C-terminal domain containing (Gstcd), transcript variant 1, mRNA",,,
7424,NM_001356315.1,,,,"NM_001356315.1 Mus musculus coiled-coil domain containing 163 (Ccdc163), transcript variant 1, mRNA",,,
7425,NM_001356320.2,,,,"NM_001356320.2 Mus musculus ubinuclein 1 (Ubn1), transcript variant 2, mRNA",,,
7426,NM_001356321.1,,,,"NM_001356321.1 Mus musculus golgi SNAP receptor complex member 1 (Gosr1), transcript variant 2, mRNA",,,
7427,NM_001356323.1,,,,"NM_001356323.1 Mus musculus ERBB receptor feedback inhibitor 1 (Errfi1), transcript variant 1, mRNA",,,
7428,NM_001356326.1,,,,"NM_001356326.1 Mus musculus peptidylprolyl isomerase D (cyclophilin D) (Ppid), transcript variant 2, mRNA",,,
7429,NM_001356327.1,,,,"NM_001356327.1 Mus musculus MORN repeat containing 1 (Morn1), transcript variant 2, mRNA",,,
7430,NM_001356328.1,,,,"NM_001356328.1 Mus musculus queuine tRNA-ribosyltransferase accessory subunit 2 (Qtrt2), transcript variant 2, mRNA",,,
7431,NM_001356333.2,,,,"NM_001356333.2 Mus musculus v-raf-leukemia viral oncogene 1 (Raf1), transcript variant 2, mRNA",,,
7432,NM_001356337.1,,,,"NM_001356337.1 Mus musculus signal transducing adaptor molecule (SH3 domain and ITAM motif) 1 (Stam), transcript variant 2, mRNA",,,
7433,NM_001356340.1,,,,"NM_001356340.1 Mus musculus predicted gene 156 (Gm156), transcript variant 2, mRNA",,,
7434,NM_001356345.1,,,,"NM_001356345.1 Mus musculus mitogen-activated protein kinase kinase 6 (Map2k6), transcript variant 2, mRNA",,,
7435,NM_001356348.1,,,,"NM_001356348.1 Mus musculus coenzyme Q3 methyltransferase (Coq3), transcript variant 2, mRNA",,,
7436,NM_001356349.1,,,,"NM_001356349.1 Mus musculus wntless WNT ligand secretion mediator (Wls), transcript variant 2, mRNA",,,
7437,NM_001356354.1,,,,"NM_001356354.1 Mus musculus transmembrane protein 268 (Tmem268), transcript variant 2, mRNA",,,
7438,NM_001356357.1,,,,"NM_001356357.1 Mus musculus nicotinamide nucleotide adenylyltransferase 1 (Nmnat1), transcript variant 2, mRNA",,,
7439,NM_001356361.1,,,,"NM_001356361.1 Mus musculus basic transcription factor 3-like 4 (Btf3l4), transcript variant 2, mRNA",,,
7440,NM_001356363.1,,,,"NM_001356363.1 Mus musculus DnaJ heat shock protein family (Hsp40) member B4 (Dnajb4), transcript variant 3, mRNA",,,
7441,NM_001356371.1,,,,"NM_001356371.1 Mus musculus vestigial like family member 4 (Vgll4), transcript variant 2, mRNA",,,
7442,NM_001356374.1,,,,"NM_001356374.1 Mus musculus cytochrome b-561 (Cyb561), transcript variant 1, mRNA",,,
7443,NM_001356375.1,,,,"NM_001356375.1 Mus musculus RIKEN cDNA E330009J07 gene (E330009J07Rik), mRNA",,,
7444,NM_001356381.1,,,,"NM_001356381.1 Mus musculus dishevelled segment polarity protein 1 (Dvl1), transcript variant 3, mRNA",,,
7445,NM_001356383.1,,,,"NM_001356383.1 Mus musculus DENN/MADD domain containing 2C (Dennd2c), transcript variant 2, mRNA",,,
